symbol,price,change,last update
JCI,41.71,+0.09,2017-02-16 09:14:27
JPM,90.12,-0.47,2017-02-16 09:14:29
JNPR,27.94,-0.02,2017-02-16 09:14:26
KSU,86.79,+0.06,2017-02-16 09:13:32
K,74.84,-1.20,2017-02-16 09:14:20
KEY,18.90,-0.20,2017-02-16 09:14:00
KMB,125.12,+0.77,2017-02-16 09:14:35
KIM,24.25,+0.11,2017-02-16 09:13:57
KMI,21.90,-0.37,2017-02-16 09:13:54
KLAC,87.66,-0.02,2017-02-16 09:12:51
KSS,41.82,-1.02,2017-02-16 09:14:12
KHC,87.47,-3.62,2017-02-16 09:14:39
KR,34.03,+0.53,2017-02-16 09:14:28
LB,58.02,-0.17,2017-02-16 09:14:14
LLL,167.23,-0.88,2017-02-16 09:11:17
LH,138.77,+2.47,2017-02-16 09:14:21
LRCX,114.19,-2.03,2017-02-16 09:14:42
LM,36.21,+0.22,2017-02-16 09:13:39
LEG,48.30,+0.04,2017-02-16 09:13:32
LEN,46.32,-0.58,2017-02-16 09:14:30
LUK,25.26,+0.26,2017-02-16 09:14:38
LVLT,57.28,-0.21,2017-02-16 09:12:03
LLY,80.13,-0.11,2017-02-16 09:14:37
LNC,72.27,-0.81,2017-02-16 09:14:43
LLTC,64.72,+0.07,2017-02-16 09:14:35
LKQ,31.89,-0.03,2017-02-16 09:14:40
L,47.02,-0.22,2017-02-16 09:13:50
LOW,76.50,-0.42,2017-02-16 09:14:36
LYB,92.63,-0.46,2017-02-16 09:14:02
MTB,167.77,-1.26,2017-02-16 09:14:36
MAC,67.12,-0.07,2017-02-16 09:14:35
M,32.05,-0.68,2017-02-16 09:14:05
MNK,52.56,+0.07,2017-02-16 09:14:41
MRO,16.25,-0.03,2017-02-16 09:14:50
MPC,50.16,-0.49,2017-02-16 09:14:41
MAR,89.15,-0.31,2017-02-16 09:14:49
MMC,72.89,+0.28,2017-02-16 09:13:21
MLM,220.73,-1.19,2017-02-16 09:14:27
MAS,33.45,+0.01,2017-02-16 09:14:11
MA,109.08,-0.58,2017-02-16 09:14:43
MAT,25.78,-0.22,2017-02-16 09:14:43
MKC,96.20,-0.79,2017-02-16 09:14:54
MCD,126.50,+0.04,2017-02-16 09:14:54
MCK,149.22,-0.28,2017-02-16 09:13:05
MJN,87.71,0.00,2017-02-16 09:14:54
MDT,77.94,+0.24,2017-02-16 09:14:54
